Mass,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24
213.0040873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992339,0,0,0,0,0,0
213.0227081,0,12249192,9680251,0,0,0,0,0,7611246,0,0,0,0,0,0,0,0,7717173,0,8843583,7844109,0,8949707,0
213.0404525,5629523,9823017,7069886,2602614,10019559,25241143,13226289,25492748,24438367,2256879,15563035,0,18932774,19565674,2587672,23540631,11432299,6024971,10018776,7041834,9406810,5318135,15717088,13292904
213.0556992,0,0,2713076,0,0,0,0,0,0,0,0,0,0,0,0,4357674,0,0,0,0,0,0,0,0
213.0590718,0,5829296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213.0591041,0,0,4920687,0,0,0,0,0,0,0,0,0,0,0,0,2330827,0,0,0,0,0,0,0,0
213.0768381,41309839,88816116,67010292,11738199,36016448,32330727,23679078,4994110,71429881,12844036,40717142,0,39546294,74401467,5740269,102430229,73045127,38835270,3976145,64174433,54741070,36750567,66708182,64365382
213.0880958,2481158,3917909,0,0,0,0,0,2573166,0,0,0,0,0,0,0,0,0,2731568,0,0,0,0,0,2487203
213.0920877,0,2167024,3336381,0,0,0,0,0,0,0,2181201,0,0,0,0,2860787,0,0,0,2519206,0,0,0,0
213.1132218,11150876,30822550,25319175,3352832,4318002,1997469,2317376,4172973,7348897,2959638,5877671,0,0,22314200,1906827,37966963,32849549,11735128,9373848,17589586,12837243,12211493,15606635,2426387
213.1132471,0,0,0,0,0,0,0,0,0,0,0,0,7638091,0,0,0,0,0,0,0,0,0,0,0
213.1244478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2331544,0,0,0,0,0,0,0,0
213.1284702,0,0,1959840,0,0,0,0,0,0,0,0,0,0,0,0,2341580,0,0,0,0,0,0,0,0
213.1496126,0,2377149,0,0,0,0,0,0,0,0,0,0,0,9080352,0,0,0,0,0,0,0,0,0,0
213.9637998,0,0,0,0,0,0,0,0,400467796,0,0,0,0,0,0,0,0,0,0,40258204,0,0,0,0
214.0179502,0,3406516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2669625,0,2721163,0,0,0,0
214.035704,0,0,0,0,0,0,0,0,2685834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
